timestamp,temperatura_forno,estoque_farinha,estoque_ovos,estoque_leite,clientes_hora,consumo_energia
2025-09-24 21:18:25,186.35,35,65,27,1,5.64
2025-09-24 21:18:25,202.92,27,77,34,19,5.21
2025-09-24 21:18:25,248.2,24,104,43,14,14.93
2025-09-24 21:18:25,207.51,16,144,22,9,9.57
2025-09-24 21:18:25,225.27,58,196,25,10,6.03
2025-09-24 21:18:25,249.54,34,49,44,13,12.75
2025-09-24 21:18:25,208.76,56,65,36,14,13.93
2025-09-24 21:18:25,184.65,48,142,16,12,11.34
2025-09-24 21:18:25,242.59,94,109,16,10,8.92
2025-09-24 21:18:25,205.9,96,102,13,0,6.76
2025-09-24 21:18:25,194.04,52,75,31,16,8.53
2025-09-24 21:18:25,199.35,46,143,46,19,7.02
2025-09-24 21:18:25,239.28,50,44,16,12,8.03
2025-09-24 21:18:25,189.74,59,31,5,8,5.94
2025-09-24 21:18:25,181.97,49,180,41,12,13.86
2025-09-24 21:18:25,211.22,98,121,11,18,7.35
2025-09-24 21:18:25,246.5,83,23,5,17,5.33
2025-09-24 21:18:25,245.78,98,186,32,3,8.05
2025-09-24 21:18:25,241.25,44,141,47,16,5.27
2025-09-24 21:18:25,249.44,2,55,1,15,14.37
2025-09-24 21:18:25,245.36,86,138,22,15,9.44
2025-09-24 21:18:25,208.75,0,10,39,17,13.78
2025-09-24 21:18:25,220.82,45,191,37,3,7.18
2025-09-24 21:18:25,229.08,92,123,48,2,5.34
2025-09-24 21:18:25,246.12,75,168,50,11,5.72
2025-09-24 21:18:25,184.55,23,156,49,17,8.07
2025-09-24 21:18:25,182.05,99,53,49,2,10.7
2025-09-24 21:18:25,228.55,4,65,11,19,9.31
2025-09-24 21:18:25,240.34,40,48,34,9,7.35
2025-09-24 21:18:25,215.07,91,62,23,1,6.13
2025-09-24 21:18:25,198.29,44,93,6,2,9.73
2025-09-24 21:18:25,210.68,72,44,9,14,6.36
2025-09-24 21:18:25,238.0,31,80,4,6,11.46
2025-09-24 21:18:25,233.41,71,44,16,4,13.27
2025-09-24 21:18:25,228.13,78,149,45,9,7.48
2025-09-24 21:18:25,235.21,58,94,3,6,9.1
2025-09-24 21:18:25,220.73,86,196,14,0,11.74
2025-09-24 21:18:25,204.44,20,146,25,9,14.06
2025-09-24 21:18:25,202.78,21,200,11,9,7.06
2025-09-24 21:18:25,239.82,43,151,24,12,8.5
2025-09-24 21:18:25,243.01,57,172,48,8,10.63
2025-09-24 21:18:25,223.38,53,113,33,14,9.34
2025-09-24 21:18:25,241.71,92,90,31,6,14.61
2025-09-24 21:18:25,225.27,19,54,31,7,8.03
2025-09-24 21:18:25,197.51,0,9,49,17,10.64
2025-09-24 21:18:25,242.22,80,86,9,11,14.02
2025-09-24 21:18:25,213.53,48,80,0,19,8.77
2025-09-24 21:18:25,180.48,55,60,40,12,9.33
2025-09-24 21:18:25,218.42,15,74,7,14,5.17
2025-09-24 21:18:25,222.25,54,1,19,16,9.7
